Sport,Event,Name,Location,Year,Result,WR,Class,Age,Gender,Multiclass,NGB,Country,DOB,Wind,Typepool,SDMS,ID,Web_ID
Track ,100 Meters Hurdles,,,,00:00.0,,T20,Adults,Male,no,ID,USA,,,,20,Track 100 Meters HurdlesT20Adults,Track100 Meters HurdlesT20AdultsMale
Track ,100 Meters,Lori Bennett,,1984,00:13.9,,T11,Adults,Female,no,BA,USA,,,,,Track 100 MetersT11Adults,Track100 MetersT11AdultsFemale
Track ,100 Meters,"Brown, David","Walnut, California",2014,00:10.9,,T11,Adults,Male,no,BA,USA,,,,,Track 100 MetersT11Adults,Track100 MetersT11AdultsMale
Track ,100 Meters,,,,00:00.0,,T11,M35,Female,no,BA,USA,,,,,Track 100 MetersT11M35,Track100 MetersT11M35Female
Track ,100 Meters,,,,00:00.0,,T11,M35,Male,no,BA,USA,,,,,Track 100 MetersT11M35,Track100 MetersT11M35Male
Track ,100 Meters,,,,00:00.0,,T11,M50,Female,no,BA,USA,,,,,Track 100 MetersT11M50,Track100 MetersT11M50Female
Track ,100 Meters,,,,00:00.0,,T11,M50,Male,no,BA,USA,,,,,Track 100 MetersT11M50,Track100 MetersT11M50Male
Track ,100 Meters,,,,00:00.0,,T11,M60,Female,no,BA,USA,,,,,Track 100 MetersT11M60,Track100 MetersT11M60Female
Track ,100 Meters,,,,00:00.0,,T11,M60,Male,no,BA,USA,,,,,Track 100 MetersT11M60,Track100 MetersT11M60Male
Track ,100 Meters,,,,00:00.0,,T11,U11,Female,no,BA,USA,,,,,Track 100 MetersT11U11,Track100 MetersT11U11Female
Track ,100 Meters,"Patterson, Christopher",Nationals,2010,00:26.2,,T11,U11,Male,no,BA,USA,,,,,Track 100 MetersT11U11,Track100 MetersT11U11Male
Track ,100 Meters,,,,00:00.0,,T11,U14,Female,no,BA,USA,,,,,Track 100 MetersT11U14,Track100 MetersT11U14Female
Track ,100 Meters,"Toce, Gianni",NJDC,2012,00:17.9,,T11,U14,Male,no,BA,USA,,,,,Track 100 MetersT11U14,Track100 MetersT11U14Male
Track ,100 Meters,"Chikavanga, Moreblessings",NJDC,2015,00:18.2,,T11,U20,Female,no,BA,USA,,,,,Track 100 MetersT11U20,Track100 MetersT11U20Female
Track ,100 Meters,,,,00:00.0,,T11,U23,Female,no,BA,USA,,,,,Track 100 MetersT11U23,Track100 MetersT11U23Female
